ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,smell,move,turn
100,33,100,26,16,26,16,26,46.73570458892834,6.431547349692454,43.12261743148806
28,100,33,20,31,20,30,100,3.6442869324375238,6.101230192567709,0.6073811554062516
22,100,39,24,37,24,37,100,3.063363501791855,7.285093430605329,-5.489439416368022
19,99,54,30,40,28,38,100,8.640332453618726,6.549333948988184,-11.903996306070901
24,23,91,38,40,33,35,100,20.722834799759084,6.975634299993308,1.453805799959845
16,8,98,43,47,36,39,100,19.438307730986708,7.488523305072514,-28.908860169564917
89,8,3,73,47,52,33,50,48.7974389077292,6.0843875312828715,-43.49367481230277
46,84,13,7,76,52,45,29,92.8070293788304,8.311306371634178,-13.865495103528264
28,100,100,14,100,58,51,23,107.32971723886004,8.98138103441278,17.888286206476675
31,74,100,19,85,62,26,17,90.12746416092716,4.900708134227373,35.00424880536424
70,99,19,100,66,32,17,25,55.40559158674165,5.00571087740949,5.234265264456942
65,88,19,100,71,28,17,27,50.50333445682452,4.869537068245125,4.417222409470751
61,83,19,100,75,26,17,31,46.336307090868445,4.753786308079679,3.7227178484780734
58,84,19,100,80,24,18,35,42.84978614667756,4.456938504074376,5.14163102444626
55,90,18,99,85,24,19,43,37.92256389986608,4.320071219440724,8.320427316644345
100,100,18,95,72,23,22,64,29.776223196050296,5.76045064433473,-32.370629467324946
46,100,100,22,93,42,19,25,62.537739875503576,6.2704927743195435,51.756289979250596
87,100,20,96,40,23,33,40,10.881602183146356,6.635600060642954,-1.519732969475605
84,100,15,100,48,27,37,36,12.517373824435253,5.681038161789868,-31.247104362594126
31,63,100,21,100,37,28,52,44.077701576185405,7.224380599338484,7.346283596030901
100,55,100,23,100,35,31,29,37.113956537676415,7.030943237157678,6.185659422946067
100,49,100,27,100,35,35,20,31.260215571913534,6.8683393214420425,5.210035928652253
100,44,100,31,89,37,40,13,26.295397965454754,5.274199603255894,23.3785309528687
52,100,45,100,53,38,14,100,2.940739221394324,5.61502053392762,31.82345653689905
42,100,34,78,44,20,44,61,-29.110947072399824,5.1913625813222275,-4.851824512066635
29,100,35,99,50,21,46,100,-24.4547282925206,5.320701991874428,-4.075788048753431
25,100,38,100,56,22,49,100,-20.546026413113054,5.429277044080193,-3.42433773551884
20,100,41,100,62,22,53,100,-17.26408756149374,7.520442012180729,-12.877347926915618
17,100,100,42,78,36,41,97,-4.439152287717775,7.575338042846013,-16.14797174292393
18,8,100,47,100,68,33,100,11.849527762640037,6.421776378555971,-24.589341728664174
87,9,7,100,55,81,26,100,36.79483132677137,7.02063545295275,-20.080631726727947
100,16,7,12,60,100,24,35,57.464922708516724,5.95455498302605,-37.53489232406592
36,73,17,10,20,63,91,21,95.50024440347852,7.5861179000966255,-21.41662593275358
17,100,79,18,20,70,100,16,117.54045965805432,5.134134014308229,37.844804085849375
100,70,22,20,100,100,15,14,80.18788344330267,6.024309816036697,44.67919222955351
64,20,18,100,100,17,16,100,35.86038511150775,4.862788475319659,1.97673085191796
61,100,17,100,100,18,18,100,34.1100254298193,4.614167373050536,7.685004238303216
61,14,17,100,100,19,22,100,26.60687307813828,5.188965256423758,-38.35954179479078
100,60,100,20,90,36,17,23,65.43096248044219,6.750860068901172,48.23849374674036
58,100,16,94,39,21,87,100,17.376209333209943,5.616005814811388,-32.437298444465014
38,100,60,21,99,30,21,96,50.211562211941555,7.661432283665043,11.035260368656928
33,100,39,28,100,27,72,83,39.64169288227356,7.10115813561871,6.606948813712258
28,100,42,31,100,29,79,100,33.440729049936294,6.928909140276009,5.573454841656051
24,100,43,33,100,31,87,21,28.168610866746747,7.182461412965187,2.694768477791122
18,100,50,25,70,45,94,14,25.801202682093844,5.064890670640139,27.029344023840835
31,100,31,100,45,85,14,12,-1.2399054557524778,5.141631030285149,38.68978618171089
100,33,100,55,88,17,12,26,-40.284582525905876,4.81431715205817,20.619236245682355
100,24,100,48,100,15,17,100,-61.29178297445628,3.2307838062651033,27.118036170923954
26,20,59,94,21,17,100,100,-88.74273396778483,3.5349240564504214,-14.790455661297472
32,18,100,95,86,18,27,100,-74.27285326602447,3.99158202494065,-36.317174517022764
99,26,18,72,98,27,18,100,-38.161788040724446,2.4066169988687656,-6.360298006787407
96,30,18,100,100,31,18,100,-31.91961102479553,2.5800108048667907,-5.319935170799254
95,35,18,100,57,35,18,25,-26.70039111291709,2.724989135752303,-4.450065185486181
95,100,19,100,60,100,18,23,-22.33580868621368,2.6462275364940644,-5.722634781035614
95,100,20,23,64,100,18,20,-16.67796361110669,4.60338989969148,33.22033939814889
91,22,19,75,100,22,19,100,-50.2467427484205,1.6709238125438748,-8.37445712473675
87,25,18,84,100,25,19,100,-41.948412038759784,2.101432998923339,-4.991402006459965
84,27,18,100,100,28,18,100,-37.094586813850526,2.436261477393041,-6.182431135641754
82,100,18,27,100,32,18,100,-31.030115414490297,2.6047190162641582,-5.1716859024150486
81,100,18,25,72,37,18,100,-25.958939150529886,2.745585023596392,-4.326489858421648
80,93,19,24,75,41,18,100,-21.71772288405805,2.663396586553943,-5.619620480676341
81,86,21,22,80,50,18,100,-16.16249108610424,4.551041914274882,33.97291815231596
75,22,19,92,100,22,100,84,-50.493741772521275,3.1307293952077426,-49.74895696208688
86,71,100,20,100,100,22,100,-0.7493640076536394,6.179184333120732,1.8751059987243934
78,66,100,24,100,100,17,100,-2.6571331834667262,4.859524078237035,36.89047780275555
61,98,23,40,100,21,100,83,-39.85235300778413,5.026323527561551,-7.975392167964024
56,77,23,34,100,24,100,89,-32.195725033424594,5.2390076379604285,-6.699287505570766
52,64,100,31,100,28,100,96,-25.75875535203545,5.284479017999015,-4.293125892005911
48,55,100,31,100,31,100,100,-21.69086137891253,5.397476072807985,-3.6151435631520883
44,47,100,31,100,32,100,100,-18.26865516921032,5.492537356410825,-3.044775861535051
40,41,100,32,100,33,100,100,-15.388893721501518,5.572530729958292,-2.5648156202502506
36,35,93,42,100,32,100,100,-12.965065655181775,5.639859287356062,-2.1608442758636315
31,29,75,62,100,36,100,100,-10.924602295822467,5.6965388251160425,-1.8207670493037469
27,24,60,84,86,40,100,100,-9.206582180378632,5.7442616061005936,-1.5344303633964387
23,20,48,100,87,44,100,94,-7.759831132645218,6.5844491352042995,-5.293305188774205
19,14,31,100,79,48,100,100,-2.5009150357658427,4.611480803677211,-43.21111517793673
96,17,13,32,100,91,50,100,41.06012098405773,5.214778449911432,-42.89799596719807
97,91,19,16,39,100,100,47,84.62580051036701,6.884050014176862,-27.229033248272163
100,100,47,21,26,100,63,100,112.59867153019161,9.127740875838656,18.766445255031936
95,100,36,26,47,100,100,35,95.02980619147189,8.639716838651998,15.838301031911982
71,100,33,32,88,72,35,100,80.2429561745065,8.228971004847402,13.37382602908442
100,60,31,39,100,93,43,100,67.8606415406673,7.885017820574092,11.31010692344455
100,46,30,48,100,100,100,72,57.34481141993558,7.5929114283315435,9.557468569989265
100,37,30,59,100,40,100,53,48.50030667708279,7.347230741030078,8.083384446180464
100,31,29,73,100,58,100,67,41.04907037321698,7.140251954811583,6.841511728869499
100,26,28,92,100,100,80,100,34.76350223137962,6.965652839760545,5.793917038563272
100,22,26,100,100,100,55,100,29.385492972790075,6.816263693688613,4.897582162131677
35,17,24,100,100,100,45,100,24.84875717145235,4.6047153176191795,-31.838374760951588
100,25,17,31,100,67,100,58,57.17483643562764,6.52152323432299,-27.804193927395396
100,100,22,21,63,100,100,44,85.85215945737173,8.584782207149214,12.308693242895288
100,100,21,27,100,79,100,39,74.6705731217827,8.340849253382853,9.778428853630452
100,100,21,33,100,89,100,100,65.96549511615223,8.099041531004229,8.327582519358707
100,100,20,38,100,100,32,100,58.65020687627782,7.962505746563273,6.441701146046306
100,100,19,44,100,100,34,95,53.04647517454589,6.006846532626275,-32.492254137575685
